# Derived from google/mozc symbol.tsv, revision 9fbd649bea4c5e99cd8ad5e487213b26a953a376
# Copyright 2010-2018, Google Inc. All rights reserved.
# License: BSD-3-Clause; see THIRD_PARTY_LICENSES for full terms.
# azooKey porter version: 1
ц	きりる|つぇー|ろしあ	キリル文字	1700
ч	きりる|ちぇー|ろしあ	キリル文字	1699
ш	きりる|しゃー|ろしあ	キリル文字	1698
щ	きりる|ししゃー|しちゃー|ろしあ	キリル文字	1697
ъ	きりる|ろしあ	キリル文字	1696
ы	うぃ|うい|きりる|ろしあ	キリル文字	1695
ь	きりる|ろしあ	キリル文字	1694
э	えー|きりる|ろしあ	キリル文字	1693
ю	きりる|ゆー|ろしあ	キリル文字	1692
я	きりる|やー|ろしあ	キリル文字	1691
ё	ぃよー|きりる|よー|ろしあ	キリル文字	1717
Ḡ	まくろん	マクロン付き文字	1184
ḡ	まくろん	マクロン付き文字	1173
ẞ	えすつぇっと|ごうじ	エスツェット大文字 合字	1161
Ớ	ほーん	ホーン付き文字	1210
ớ	ほーん	ホーン付き文字	1198
Ờ	ほーん	ホーン付き文字	1209
ờ	ほーん	ホーン付き文字	1197
Ở	ほーん	ホーン付き文字	1208
ở	ほーん	ホーン付き文字	1196
Ỡ	ほーん	ホーン付き文字	1207
ỡ	ほーん	ホーン付き文字	1195
Ợ	ほーん	ホーン付き文字	1206
ợ	ほーん	ホーン付き文字	1194
Ứ	ほーん	ホーン付き文字	1205
ứ	ほーん	ホーン付き文字	1193
Ừ	ほーん	ホーン付き文字	1204
ừ	ほーん	ホーン付き文字	1192
Ử	ほーん	ホーン付き文字	1203
ử	ほーん	ホーン付き文字	1191
Ữ	ほーん	ホーン付き文字	1202
ữ	ほーん	ホーン付き文字	1190
Ự	ほーん	ホーン付き文字	1201
ự	ほーん	ホーン付き文字	1189
‐	はいふん|ー	ハイフン	1984
–	えんだっしゅ|きごう|だっしゅ|にぶだっしゅ|にぶだーし|ー	enダッシュ(二分)	1986
—	えむだっしゅ|きごう|ぜんかくだっしゅ|だっしゅ|ー	emダッシュ(全角)	1985
―	きごう|だっしゅ|ー	ダッシュ 水平棒	1987
‖	きごう|そうちゅう|たてせん|たてぼう	縦線 双柱	1978
‘	きごう|ばっくくぉーと|ばっくくおーと	左シングル引用符	1972
‘’	かっこ	シングル引用符	1951
’	きごう|くぉーてーしょん|くぉーと|くおーてーしょん|くおーと	右シングル引用符	1971
“	きごう|くぉーと|だぶるくぉーてしょん|だぶるくおーてーしょん|だぶるくおーと	左ダブル引用符	1970
“”	かっこ	ダブル引用符	1950
”	きごう|くぉーと|だぶるくぉーてしょん|だぶるくおーてーしょん|だぶるくおーと	右ダブル引用符	1969
†	きごう|だがー	ダガー	1808
‡	きごう|だがー|だぶるだがー	ダブルダガー	1807
‥	きごう|てん|など|にてんりーだ|にてんりーだー	二点リーダ	1975
…	あまり|きごう|さんてん|さんてんりーだ|さんてんりーだー|てん	三点リーダ	1976
‰	きごう|たんい|ぱーみる	単位	1815
′	きごう|たんい|ふん	分	1926
″	きごう|たんい|びょう	秒	1925
‹›	かっこ|やまかっこ	一重山括弧	1955
※	きごう|こめ|こめじるし|ほし	米印	1881
⁰	うえつき|うわつき	上付き文字	887
⁴	うえつき|うわつき	上付き文字	883
⁵	うえつき|うわつき	上付き文字	882
⁶	うえつき|うわつき	上付き文字	881
⁷	うえつき|うわつき	上付き文字	880
⁸	うえつき|うわつき	上付き文字	879
⁹	うえつき|うわつき	上付き文字	878
⁺	うえつき|うわつき	上付き文字	877
⁻	うえつき|うわつき	上付き文字	876
⁼	うえつき|うわつき	上付き文字	875
⁽	うえつき|うわつき	上付き文字	874
⁾	うえつき|うわつき	上付き文字	873
ⁿ	うえつき|うえつきん|うえん|うわつき|うわつきん	上付き文字	872
₀	したつき	下付き文字	871
₁	したつき	下付き文字	870
₂	したつき	下付き文字	869
₃	したつき	下付き文字	868
₄	したつき	下付き文字	867
₅	したつき	下付き文字	866
₆	したつき	下付き文字	865
₇	したつき	下付き文字	864
₈	したつき	下付き文字	863
₉	したつき	下付き文字	862
₊	したつき	下付き文字	861
₋	したつき	下付き文字	860
₌	したつき	下付き文字	859
₍	したつき	下付き文字	858
₎	したつき	下付き文字	857
ₐ	したあ|したつき|したつきあ	下付き文字	856
ₑ	したえ|したつき|したつきえ	下付き文字	855
ₒ	したお|したつき|したつきお	下付き文字	854
ₓ	したつき	下付き文字	853
ₔ	したえ|したつき|したつきえ	下付き文字	852
₠	えきゅー|えきゅーきごう|おうしゅうつうかたんい|きゅうゆーろ|きゅうゆーろきごう|たんい|つうか	通貨記号	1144
₡	ころん|ころんきごう|たんい|つうか	通貨記号	1143
₢	くるぜいろ|くるぜいろきごう|たんい|つうか	通貨記号	1142
₣	たんい|つうか|ふらん|ふらんきごう	通貨記号	1141
₤	たんい|つうか|りら|りらきごう	通貨記号	1140
₥	たんい|つうか|みるきごう	通貨記号	1139
₦	たんい|つうか|ないら|ないらきごう	通貨記号	1138
₧	たんい|つうか|ぺせた|ぺせたきごう	通貨記号	1137
₨	たんい|つうか|るぴー|るぴーきごう	通貨記号	1136
₩	うぉん|うぉんきごう|たんい|つうか	通貨記号	1135
₪	しんしぇける|しんしぇけるきごう|たんい|つうか	通貨記号	1134
₫	たんい|つうか|どん|どんきごう	通貨記号	1133
€	たんい|つうか|ゆーろ	通貨記号	1916
₭	きーぷ|きーぷきごう|たんい|つうか	通貨記号	1132
₮	たんい|つうか|とぅぐりく|とぅぐりくきごう|とぅぐるく|とぅぐるくきごう|とぅぐるぐ|とぅぐるぐきごう|どぐろぐ|どぐろぐきごう	通貨記号	1131
₯	たんい|つうか|どらくま|どらくまきごう	通貨記号	1130
₰	たんい|つうか|ぺにひ|ぺにひきごう	通貨記号	1129
₱	たんい|つうか|ぺそ|ぺそきごう	通貨記号	1128
₲	ぐあらにー|ぐあらにーきごう|たんい|つうか	通貨記号	1127
₳	あうすとらる|あうすとらるきごう|たんい|つうか	通貨記号	1126
₴	ぐりぶな|ぐりぶなきごう|たんい|つうか|ふりぶにゃ|ふりぶにゃきごう|ふりゔにゃ|ふりゔにゃきごう	通貨記号	1125
₵	せでぃ|せでぃきごう|たんい|つうか	通貨記号	1124
₶	たんい|つうか|とぅーるりーぶる|りーぶる	通貨記号	1123
₷	すぺすみろ|たんい|つうか	通貨記号	1122
₸	たんい|つうか|てんげ	通貨記号	1121
₹	いんどるぴー|たんい|つうか|るぴー	通貨記号	1120
₺	たんい|つうか|とるこりら|りら	通貨記号	1119
₻	たんい|つうか|のるうぇーまるく|まるく	通貨記号	1118
₼	あぜるばいじゃんまなと|たんい|つうか|まなと	通貨記号	1117
₽	たんい|つうか|るーぶる|ろしあるーぶる	通貨記号	1116
₾	じょーじあらり|たんい|つうか|らり	通貨記号	1115
₿	たんい|つうか|びっとこいん	通貨記号	1114
ℂ	きごう|すうがく|ふくそすう	複素数	1817
℃	せっし|たんい|ど|どしー	摂氏温度	1924
ℕ	きごう|しぜんすう|すうがく	自然数	1821
№	なんばー	ナンバー	1658
ℚ	きごう|すうがく|ゆうりすう	有理数	1819
ℝ	きごう|じっすう|すうがく	実数	1818
℡	でんわ	電話	1657
™	しょうひょう|とれーどまーく	トレードマーク	1391
ℤ	きごう|すうがく|せいすう	整数	1820
Å	おんぐすとろーむ|きごう|たんい	オングストローム	1816
Ⅰ	きごう|ろーま	ローマ数字	1480
Ⅱ	きごう|ろーま	ローマ数字	1479
Ⅲ	きごう|ろーま	ローマ数字	1478
Ⅳ	きごう|ろーま	ローマ数字	1477
Ⅴ	きごう|ろーま	ローマ数字	1476
Ⅵ	きごう|ろーま	ローマ数字	1475
Ⅶ	きごう|ろーま	ローマ数字	1474
Ⅷ	きごう|ろーま	ローマ数字	1473
Ⅸ	きごう|ろーま	ローマ数字	1472
Ⅹ	きごう|ろーま	ローマ数字	1471
ⅰ	きごう|ろーま	ローマ数字	1470
ⅱ	きごう|ろーま	ローマ数字	1469
ⅲ	きごう|ろーま	ローマ数字	1468
ⅳ	きごう|ろーま	ローマ数字	1467
ⅴ	きごう|ろーま	ローマ数字	1466
ⅵ	きごう|ろーま	ローマ数字	1465
ⅶ	きごう|ろーま	ローマ数字	1464
ⅷ	きごう|ろーま	ローマ数字	1463
ⅸ	きごう|ろーま	ローマ数字	1462
ⅹ	きごう|ろーま	ローマ数字	1461
←	ひだり|ひだりや|やじるし	矢印	1869
↑	うえ|うえや|やじるし	矢印	1868
→	みぎ|みぎや|やじるし	矢印	1870
↓	した|したや|やじるし	矢印	1867
↔	やじるし	矢印	1033
↕	やじるし	矢印	1032
↖	ひだりうえ|ひだりうえや|やじるし	矢印	1031
↗	みぎうえ|みぎうえや|やじるし	矢印	1030
↘	みぎした|みぎしたや|やじるし	矢印	1029
↙	ひだりした|ひだりしたや|やじるし	矢印	1028
↩	やじるし	矢印	1027
↪	やじるし	矢印	1026
↰	やじるし	矢印	1025
↱	やじるし	矢印	1024
↲	やじるし	矢印	1023
↳	やじるし	矢印	1021
↴	やじるし	矢印	1022
↵	えんたー|かいぎょう|やじるし|りたーん	矢印 改行記号	1020
↶	やじるし	矢印	1019
↷	やじるし	矢印	1018
↺	やじるし	矢印	1017
↻	やじるし	矢印	1016
⇄	やじるし	矢印	1013
⇅	やじるし	矢印	1012
⇆	やじるし	矢印	1011
⇇	やじるし	矢印	1010
⇈	やじるし	矢印	1009
⇉	やじるし	矢印	1008
⇊	やじるし	矢印	1007
⇐	ひだり|ひだりや|やじるし	太矢印	1006
⇑	うえ|うえや|やじるし	太矢印	1005
⇒	きごう|けいさん|すうがく|ならば|みぎや|やじるし	ならば	1846
⇓	した|したや|やじるし	太矢印	1004
⇔	きごう|けいさん|すうがく|どうち|やじるし	同値	1845
⇕	やじるし	太矢印	1003
⇖	ひだりうえ|ひだりうえや|やじるし	太矢印	1002
⇗	みぎうえ|みぎうえや|やじるし	太矢印	1001
⇘	みぎした|みぎしたや|やじるし	太矢印	1000
⇙	ひだりした|ひだりしたや|やじるし	太矢印	999
⇚	ひだり|ひだりや|やじるし	三重矢印	998
⇛	みぎ|みぎや|やじるし	三重矢印	997
⇠	ひだり|ひだりや|やじるし	点線矢印	996
⇡	うえ|うえや|やじるし	点線矢印	995
⇢	みぎ|みぎや|やじるし	点線矢印	994
⇣	した|したや|やじるし	点線矢印	993
⇦	ひだり|ひだりや|やじるし	白抜き矢印	992
⇧	うえ|うえや|やじるし	白抜き矢印	991
⇨	みぎ|みぎや|やじるし	白抜き矢印	990
⇩	した|したや|やじるし	白抜き矢印	989
∀	きごう|けいさん|すうがく|すべて|すべての|たーんえー	すべての	1844
∂	きごう|けいさん|すうがく|でる|へんびぶん|らうんど	偏微分	1838
∃	きごう|けいさん|すうがく|そんざい	存在記号	1843
∅	きごう|くうしゅうごう|すうがく	空集合	1822
∆	ぞうぶん|でるた|らぷらしあん	増分 ラプラシアン	1836
∇	きごう|けいさん|すうがく|なぶら	ナブラ	1837
∈	きごう|けいさん|しゅうごう|すうがく|ぞくする|ふくむ	属する	1859
∉	きごう|けいさん|しゅうごう|すうがく|ぞくさない|ふくまない	属さない	1858
∋	きごう|けいさん|しゅうごう|すうがく|ぞくする|ふくむ	元として含む	1857
∌	きごう|けいさん|しゅうごう|すうがく|ぞくさない|ふくまない	元として含まない	1856
∑	けいさん|しぐま|すうがく|そうわ	総和記号	1460
−	すうがく|はいふん|ひく|まいなす|ー	減算記号 マイナス	1947
∓	きごう|すうがく|まいなすぷらす	負または正記号	1945
√	きごう|けいさん|こんごう|すうがく|へいほうこん|るーと	根号	1831
∛	こんごう|さんじょうこん|りっぽうこん	三乗根号	1830
∜	こんごう|よんじょうこん	四乗根号	1829
∝	きごう|けいさん|すうがく|ひれい	比例	1827
∞	きごう|すうがく|むげん|むげんだい	無限大	1931
∟	すうがく|ちょっかく	直角	1459
∠	かく|きごう|けいさん|すうがく	角	1842
∥	きごう|たてせん|たてぼう|へいこう	縦線 平行	1979
∧	あんど|および|かつ|きごう|けいさん|しゅうごう|すうがく	および	1849
∨	おあ|きごう|けいさん|しゅうごう|すうがく|または	または	1848
∩	あんど|かっぷ|きごう|きゃっぷ|けいさん|しゅうごう|すうがく|せきしゅうごう	積集合	1850
∪	おあ|かっぷ|きごう|きゃっぷ|けいさん|しゅうごう|すうがく|わしゅうごう	和集合	1851
∫	いんてぐらる|きごう|けいさん|すうがく|せきぶん	積分記号	1825
∬	いんてぐらる|きごう|けいさん|すうがく|せきぶん|にじゅうせきぶん	二重積分記号	1824
∮	いんてぐらる|けいさん|けいろせきぶん|しゅうかいせきぶん|すうがく|せきぶん|ふぁい|へいろせきぶん	閉路積分記号	1458
∴	きごう|さんかく|すうがく|てん|ゆえに	ゆえに	1930
∵	きごう|けいさん|さんかく|すうがく|てん|なぜならば	なぜならば	1826
∽	きごう|けいさん|すうがく|そうじ	相似	1828
≒	いこーる|きごう|きんじ|けいさん|すうがく|とうごう|やく	ほとんど等しい	1834
≠	きごう|すうがく|とうごう|のっといこーる|ふとうごう	等号否定	1940
≡	きごう|けいさん|ごうどう|すうがく	合同	1835
≦	きごう|しょうなりいこーる|すうがく|ふとうごう	不等号	1937
≧	きごう|すうがく|だいなりいこーる|ふとうごう	不等号	1936
≪	きごう|けいさん|しょうなり|すうがく|ふとうごう	非常に小さい	1833
≫	きごう|けいさん|すうがく|だいなり|ふとうごう	非常に大きい	1832
⊂	きごう|けいさん|しゅうごう|すうがく	真部分集合	1853
⊃	きごう|けいさん|しゅうごう|すうがく	真上位集合	1852
⊆	きごう|けいさん|しゅうごう|すうがく	部分集合	1855
⊇	きごう|けいさん|しゅうごう|すうがく	上位集合	1854
⊕	えっくすおあ|きごう|けいさん|すうがく|ちょくわ	直和	1823
⊥	かく|きごう|けいさん|すいちょく|すうがく	垂直	1841
